Player,First_Year,Last_Year,Years_Played,Last_Age,Games,Games_Started,Completions,Attempts,Passing_Yards,Passing_TDs,Interceptions,Average_Passer_Rating,Times_Sacked,Sack_Yards_Lost,Total_Wins,Total_Losses,Total_Ties,Teams,Completion_Percentage,TD_Percentage,Int_Percentage,Yards_Per_Attempt,Win_Percentage,QB_Score,Tier,All_Time_Rank,Prime_Years,Prime_Rating,Era,Era_Avg_pass_rating,Era_Avg_pass_yds,Era_Avg_pass_td,Era_Avg_pass_int,Era_Avg_pass_cmp,Era_Avg_pass_att,Average_Passer_Rating_vs_era,Passing_Yards_vs_era,Passing_TDs_vs_era
A.J. Feeley,2001,2011,6,34,28,18,425,762,4618,28,31,83.53333333333333,44,276,8,10,0,"MIA, PHI, STL",55.8,3.7,4.1,6.1,44.4,3.4,Unranked,130,2002-2007,66.1,Early Modern,74.11,1469.82,8.58,7.03,129.09,218.97,12.7,214.2,226.3
A.J. McCarron,2015,2023,6,33,18,4,113,179,1192,6,3,77.93333333333332,21,143,2,2,0,"CIN, HOU, OAK",63.1,3.4,1.7,6.7,50.0,0.0,Unranked,172,,,Modern Passing,80.91,1736.71,10.7,5.85,154.07,243.37,-3.7,-31.4,-43.9
Aaron Brooks,2000,2006,7,30,93,90,1673,2963,20261,123,92,77.45714285714287,235,1454,38,52,0,"NOR, OAK",56.5,4.2,3.1,6.8,42.2,20.1,Unranked,44,2002-2004,82.8,Early Modern,74.11,1469.82,8.58,7.03,129.09,218.97,4.5,1278.5,1333.6
Aaron Rodgers,2005,2023,19,40,231,224,5001,7661,59055,475,105,94.26315789473684,531,3606,148,75,1,"GNB, NYJ",65.3,6.2,1.4,7.7,66.4,57.0,Unranked,7,2011-2013,111.8,Post-Ty Law Rule,75.0,1530.04,9.08,6.67,132.82,219.87,25.7,3759.7,5131.3
Aidan O'Connell,2023,2023,1,25,11,10,213,343,2218,12,7,83.9,24,173,5,5,0,LVR,62.1,3.5,2.0,6.5,50.0,0.2,Unranked,169,,,Modern Passing,80.91,1736.71,10.7,5.85,154.07,243.37,3.7,27.7,12.1
Akili Smith,2000,2002,3,27,15,13,135,308,1407,3,7,53.56666666666666,40,217,2,11,0,CIN,43.8,1.0,2.3,4.6,15.4,0.0,Unranked,172,,,Early Modern,74.11,1469.82,8.58,7.03,129.09,218.97,-27.7,-4.3,-65.0
Alex Smith,2005,2020,14,36,174,167,3250,5193,35650,199,109,83.51428571428572,432,2463,99,67,1,"KAN, SFO, WAS",62.6,3.8,2.1,6.9,59.6,32.4,Unranked,22,2015-2017,97.1,Post-Ty Law Rule,75.0,1530.04,9.08,6.67,132.82,219.87,11.4,2230.0,2091.6
Alex Tanney,2015,2019,2,32,2,0,11,15,100,1,0,97.05000000000001,3,34,0,0,0,"NYG, TEN",73.3,6.7,0.0,6.7,0.0,0.9,Unranked,158,,,Modern Passing,80.91,1736.71,10.7,5.85,154.07,243.37,19.9,-94.2,-90.7
Alex Van Pelt,2000,2003,4,33,21,8,189,329,2177,12,14,62.099999999999994,15,80,2,6,0,BUF,57.4,3.6,4.3,6.6,25.0,0.0,Unranked,172,,,Early Modern,74.11,1469.82,8.58,7.03,129.09,218.97,-16.2,48.1,39.9
Andrew Luck,2012,2018,6,29,86,86,2000,3290,23671,171,83,88.33333333333333,174,1124,53,33,0,IND,60.8,5.2,2.5,7.2,61.6,21.7,Unranked,36,2015-2018,90.0,Modern Passing,80.91,1736.71,10.7,5.85,154.07,243.37,9.2,1263.0,1498.1
Andrew Walter,2006,2008,3,26,15,9,174,333,1919,3,16,53.70000000000001,51,295,2,7,0,OAK,52.3,0.9,4.8,5.8,22.2,0.0,Unranked,172,,,Post-Ty Law Rule,75.0,1530.04,9.08,6.67,132.82,219.87,-28.4,25.4,-67.0
Andy Dalton,2011,2023,13,36,169,163,3408,5454,38511,246,144,87.72307692307692,348,2281,83,78,2,"CAR, CHI, CIN, DAL, NOR",62.5,4.5,2.6,7.1,51.6,37.9,Unranked,14,2015-2017,94.9,Post-Ty Law Rule,75.0,1530.04,9.08,6.67,132.82,219.87,17.0,2417.0,2609.3
Anthony Brown,2022,2022,1,24,2,1,22,49,302,0,2,48.2,5,14,0,1,0,BAL,44.9,0.0,4.1,6.2,0.0,0.0,Unranked,172,,,Modern Passing,80.91,1736.71,10.7,5.85,154.07,243.37,-40.4,-82.6,-100.0
Anthony Richardson,2023,2023,1,21,4,4,50,84,577,3,1,87.3,7,29,2,2,0,IND,59.5,3.6,1.2,6.9,50.0,0.0,Unranked,172,,,Modern Passing,80.91,1736.71,10.7,5.85,154.07,243.37,7.9,-66.8,-72.0
Anthony Wright,2000,2007,6,31,31,19,332,605,3590,20,25,64.35000000000001,55,394,8,11,0,"BAL, CIN, DAL, NYG",54.9,3.3,4.1,5.9,42.1,0.0,Unranked,172,,,Early Modern,74.11,1469.82,8.58,7.03,129.09,218.97,-13.2,144.2,133.1
