Player,First_Year,Last_Year,Years_Played,Last_Age,Games,Games_Started,Attempts,Rushing_Yards,Rushing_TDs,First_Downs,Fumbles,Teams,Yards_Per_Attempt,TD_Rate,First_Down_Rate,Fumble_Rate,RB_Score,Tier,All_Time_Rank,Experience_Level,Prime_Years,Prime_Rating
AJ Dillon,2020,2023,4,25,60,11,597,2428,16,140,3,GNB,4.1,2.7,23.5,0.5,9.0,Unranked,169,Limited,2021-2023,3.9
Aaron Brown,2009,2011,3,26,22,2,45,189,0,9,0,DET,4.2,0.0,20.0,0.0,0.0,Unranked,501,Minimal,,
Aaron Jones,2017,2023,7,29,97,85,1177,5940,45,296,15,GNB,5.0,3.8,25.1,1.3,25.2,Unranked,53,Moderate,2018-2020,5.2
Aaron Ripkowski,2016,2017,2,25,32,10,39,163,2,12,0,GNB,4.2,5.1,30.8,0.0,0.6,Unranked,445,Minimal,,
Aaron Stecker,2000,2009,10,34,129,16,386,1526,8,84,10,"ATL, NOR, TAM",4.0,2.1,21.8,2.6,4.9,Unranked,241,Limited,,
Adimchinobe Echemandu,2004,2007,2,27,13,0,28,110,0,8,2,"2TM, CLE",3.9,0.0,28.6,7.1,0.0,Unranked,501,Minimal,,
Adrian Killins,2020,2020,1,22,1,0,1,-12,0,0,0,PHI,-12.0,0.0,0.0,0.0,0.0,Unranked,501,Minimal,,
Adrian Murrell,2000,2003,2,33,18,0,48,157,0,8,1,"DAL, WAS",3.3,0.0,16.7,2.1,0.0,Unranked,501,Minimal,,
Adrian Peterson,2002,2021,23,36,290,173,3541,16201,128,767,55,"2TM, CHI, DET, MIN, WAS",4.6,3.6,21.7,1.6,80.4,Unranked,1,Extended,2010-2012,5.1
Ahmad Bradshaw,2007,2015,9,29,103,36,1083,4928,36,253,22,"IND, NYG",4.6,3.3,23.4,2.0,21.7,Unranked,64,Moderate,2009-2011,4.4
Ahman Green,2000,2009,10,32,118,97,1995,8876,59,449,34,"GNB, HOU",4.4,3.0,22.5,1.7,41.3,Unranked,15,Extended,2001-2003,4.7
Ahmard Hall,2007,2010,2,31,27,8,2,9,0,2,0,TEN,4.5,0.0,100.0,0.0,7.3,Unranked,190,Minimal,,
Akeem Hunt,2015,2017,3,24,30,1,45,228,0,12,2,"HOU, KAN",5.1,0.0,26.7,4.4,0.0,Unranked,501,Minimal,,
