ranker,player,team,age,pos,g,gs,rush_att,rush_yds,rush_td,rush_first_down,rush_success,rush_long,rush_yds_per_att,rush_yds_per_g,fumbles,Year
1,Eddie George,TEN,27,RB,16,16,403,1509,14,78,41.4,35,3.7,94.3,5,2000
2,Edgerrin James,IND,22,RB,16,16,387,1709,13,100,53.0,30,4.4,106.8,5,2000
3,Jerome Bettis,PIT,28,RB,16,16,355,1341,8,72,47.3,30,3.8,83.8,1,2000
4,James Stewart,DET,29,RB,16,16,339,1184,10,66,46.3,34,3.5,74.0,4,2000
5,Stephen Davis,WAS,26,RB,15,15,332,1318,11,72,46.7,50,4.0,87.9,4,2000
6,Curtis Martin,NYJ,27,RB,16,16,316,1204,9,64,38.9,55,3.8,75.3,2,2000
7,Corey Dillon,CIN,26,RB,16,16,315,1435,7,71,44.8,80,4.6,89.7,4,2000
8,Jamal Lewis,BAL,21,RB,16,13,309,1364,6,62,47.9,45,4.4,85.3,6,2000
9,Lamar Smith,MIA,30,RB,15,15,309,1139,14,65,45.3,68,3.7,75.9,3,2000
10,Mike Anderson,DEN,27,RB,16,12,297,1487,15,78,46.1,80,5.0,92.9,4,2000
11,Robert Smith,MIN,28,RB,16,16,295,1521,7,63,50.5,72,5.2,95.1,4,2000
12,Emmitt Smith,DAL,31,RB,16,16,294,1203,9,66,46.3,52,4.1,75.2,6,2000
13,Fred Taylor,JAX,24,RB,13,13,292,1399,12,73,46.9,71,4.8,107.6,4,2000
14,James Allen,CHI,25,RB,16,15,290,1120,2,56,45.9,29,3.9,70.0,5,2000
15,Jamal Anderson,ATL,28,RB,16,16,282,1024,6,52,42.9,42,3.6,64.0,6,2000
16,Ricky Watters,SEA,31,RB,16,16,278,1242,7,60,42.8,55,4.5,77.6,5,2000
17,Ahman Green,GNB,23,RB,16,11,263,1175,10,62,47.1,39,4.5,73.4,6,2000
18,Charlie Garner,SFO,28,RB,16,15,258,1142,7,57,45.0,42,4.4,71.4,4,2000
19,Marshall Faulk,STL,27,RB,14,14,253,1359,18,78,55.7,36,5.4,97.1,0,2000
20,Warrick Dunn,TAM,25,RB,16,14,248,1133,8,43,43.5,70,4.6,70.8,1,2000
21,Ricky Williams,NOR,23,RB,10,10,248,1000,8,56,44.4,26,4.0,100.0,6,2000
