Player,First_Year,Last_Year,Years_Played,Last_Age,Games,Games_Started,Targets,Receptions,Receiving_Yards,Receiving_TDs,First_Downs,Fumbles,Teams,Yards_Per_Reception,Catch_Rate,TD_Rate,Yards_Per_Game,TD_Per_Game,First_Down_Rate,Player_Score,Tier,All_Time_Rank,Experience_Level,Prime_Years,Prime_Rating
A.J. Derby,2016,2018,3,27,25,4,65.0,40,452,3,10,2.0,"2TM, MIA",11.3,61.5,7.5,18.1,0.12,25.0,10.7,Good,361,Minimal,,
Aaron Halterman,2007,2007,1,25,9,0,3.0,1,7,0,1,0.0,MIA,7.0,33.3,0.0,0.8,0.0,100.0,5.6,Below Average,608,Minimal,,
Aaron Hernandez,2010,2012,3,23,38,29,260.0,175,1956,18,101,1.0,NWE,11.2,67.3,10.3,51.5,0.47,57.7,21.7,Elite,77,Limited,2010-2012,22.0
Aaron Shea,2000,2005,6,29,65,30,164.0,97,851,7,38,1.0,CLE,8.8,59.1,7.2,13.1,0.11,39.2,14.5,Great,172,Minimal,,
Aaron Walker,2003,2007,4,27,55,15,37.0,25,312,1,16,0.0,"SFO, STL",12.5,67.6,4.0,5.7,0.02,64.0,12.0,Good,271,Minimal,,
Adam Bergen,2005,2006,2,23,30,16,67.0,43,381,2,18,2.0,ARI,8.9,64.2,4.7,12.7,0.07,41.9,10.9,Good,347,Minimal,,
Adam Shaheen,2018,2021,4,27,42,18,57.0,38,382,4,20,1.0,"CHI, MIA",10.1,66.7,10.5,9.1,0.1,52.6,11.2,Good,324,Minimal,,
Adam Trautman,2020,2023,4,26,60,40,116.0,82,845,7,41,1.0,"DEN, NOR",10.3,70.7,8.5,14.1,0.12,50.0,14.0,Great,181,Minimal,,
Alan Cross,2016,2018,3,25,36,7,21.0,13,105,1,7,0.0,TAM,8.1,61.9,7.7,2.9,0.03,53.8,8.6,Below Average,519,Minimal,,
Albert Okwuegbunam,2020,2023,4,25,30,7,74.0,54,546,4,25,1.0,"DEN, PHI",10.1,73.0,7.4,18.2,0.13,46.3,12.3,Good,256,Minimal,,
Alex Ellis,2016,2016,1,23,6,3,4.0,3,11,0,0,0.0,JAX,3.7,75.0,0.0,1.8,0.0,0.0,8.2,Below Average,538,Minimal,,
Alex Holmes,2005,2005,1,24,8,0,1.0,1,2,0,0,0.0,MIA,2.0,100.0,0.0,0.2,0.0,0.0,10.4,Average,386,Minimal,,
