Player,First_Year,Last_Year,Years_Played,Last_Age,Games,Games_Started,Targets,Receptions,Receiving_Yards,Receiving_TDs,First_Downs,Fumbles,Teams,Yards_Per_Reception,Catch_Rate,TD_Rate,Yards_Per_Game,TD_Per_Game,First_Down_Rate,Player_Score,Tier,All_Time_Rank,Experience_Level,Prime_Years,Prime_Rating
A.J. Brown,2019,2023,5,26,77,69,598.0,379,5947,42,268,7.0,"PHI, TEN",15.7,63.4,11.1,77.2,0.55,70.7,48.6,Elite,51,Moderate,2019-2021,24.2
A.J. Green,2011,2022,11,34,158,144,1269.0,727,10514,70,491,12.0,"ARI, CIN",14.5,57.3,9.6,66.5,0.44,67.5,56.4,Elite,22,Extended,2014-2016,22.3
A.J. Jenkins,2012,2014,3,25,28,3,33.0,17,223,0,9,1.0,"KAN, SFO",13.1,51.5,0.0,8.0,0.0,52.9,12.8,Average,974,Minimal,,
A.T. Perry,2023,2023,1,24,10,3,18.0,12,246,4,10,0.0,NOR,20.5,66.7,33.3,24.6,0.4,83.3,27.8,Great,255,Minimal,,
Aaron Burbridge,2016,2016,1,23,16,3,16.0,7,88,0,5,1.0,SFO,12.6,43.8,0.0,5.5,0.0,71.4,12.1,Below Average,1016,Minimal,,
Aaron Dobson,2013,2015,3,24,24,13,98.0,53,698,4,36,1.0,NWE,13.2,54.1,7.5,29.1,0.17,67.9,21.1,Great,451,Minimal,,
Aaron Moorehead,2003,2007,5,27,36,2,62.0,31,330,1,17,1.0,IND,10.6,50.0,3.2,9.2,0.03,54.8,14.6,Average,835,Minimal,,
Ace Sanders,2013,2014,2,23,27,4,94.0,57,539,1,23,2.0,JAX,9.5,60.6,1.8,20.0,0.04,40.4,15.3,Average,791,Minimal,,
Adam Humphries,2015,2021,7,28,96,32,455.0,320,3314,13,183,7.0,"TAM, TEN, WAS",10.4,70.3,4.1,34.5,0.14,57.2,27.0,Great,272,Moderate,2016-2018,20.1
Adam Jennings,2006,2008,3,26,45,2,9.0,6,62,1,3,5.0,"2TM, ATL",10.3,66.7,16.7,1.4,0.02,50.0,12.9,Average,968,Minimal,,
Adam Thielen,2014,2023,10,33,152,118,913.0,637,7696,59,397,9.0,"CAR, MIN",12.1,69.8,9.3,50.6,0.39,62.3,45.7,Elite,63,Moderate,2018-2021,24.2
Adrian Arrington,2010,2011,2,26,5,0,12.0,9,110,0,5,0.0,NOR,12.2,75.0,0.0,22.0,0.0,55.6,17.3,Good,648,Minimal,,
Adrian Madise,2003,2003,1,23,11,0,3.0,2,10,0,0,1.0,DEN,5.0,66.7,0.0,0.9,0.0,0.0,9.3,Below Average,1146,Minimal,,
Ahmad Merritt,2001,2003,3,26,29,4,42.0,19,170,0,8,4.0,CHI,8.9,45.2,0.0,5.9,0.0,42.1,11.5,Below Average,1053,Minimal,,
Albert Connell,2000,2001,2,27,27,13,130.0,51,953,5,36,0.0,"NOR, WAS",18.7,39.2,9.8,35.3,0.19,70.6,26.2,Great,294,Minimal,,
Albert Wilson,2014,2021,7,29,89,38,334.0,218,2499,12,117,0.0,"KAN, MIA",11.5,65.3,5.5,28.1,0.13,53.7,23.9,Great,356,Limited,,
Aldrick Robinson,2012,2018,6,30,82,5,180.0,86,1422,14,61,0.0,"ATL, MIN, SFO, WAS",16.5,47.8,16.3,17.3,0.17,70.9,21.8,Great,422,Minimal,,
Alec Pierce,2022,2023,2,23,33,28,143.0,73,1107,4,52,1.0,IND,15.2,51.0,5.5,33.5,0.12,71.2,21.9,Great,416,Minimal,,
